result,queue,major,minor
MISS,LLIJ,LLIJ,ZIO
MISS,LLIJ,LLIJ,ZIS
MISS,LLIJ,LLIJ,ZJT
MISS,LLIJ,LLIJ,ZJI
MISS,LLIJ,LLIJ,ZJL
MISS,LLIJ,LLIJ,ZJO
MISS,LLIJ,LLIJ,ZJS
MISS,LLIJ,LLIJ,ZLT
MISS,LLIJ,LLIJ,ZLI
MISS,LLIJ,LLIJ,ZLJ
MISS,LLIJ,LLIJ,ZLO
MISS,LLIJ,LLIJ,ZLS
MISS,LLIJ,LLIJ,ZOT
MISS,LLIJ,LLIJ,ZOI
MISS,LLIJ,LLIJ,ZOJ
MISS,LLIJ,LLIJ,ZOL
MISS,LLIJ,LLIJ,ZOS
MISS,LLIJ,LLIJ,ZST
MISS,LLIJ,LLIJ,ZSI
MISS,LLIJ,LLIJ,ZSJ
MISS,LLIJ,LLIJ,ZSL
MISS,LLIJ,LLIJ,ZSO
MISS,LLIJ,LLJI
MISS,LLIJ,LILJ
MISS,LLIJ,LIJL
MISS,LLIJ,LJLI
MISS,LLIJ,LJIL
MISS,LLIJ,ILLJ
MISS,LLIJ,ILJL
MISS,LLIJ,IJLL
MISS,LLIJ,JLLI
MISS,LLIJ,JLIL
MISS,LLIJ,JILL
HIT,LLIO
HIT,LLIS
HIT,LLIZ
HIT,LLJO,LLJO,TIJ
HIT,LLJO,LLJO,TIL
HIT,LLJO,LLJO,TIO
HIT,LLJO,LLJO,TIS
HIT,LLJO,LLJO,TIZ
HIT,LLJO,LLJO,TJI
HIT,LLJO,LLJO,TJL
HIT,LLJO,LLJO,TJO
HIT,LLJO,LLJO,TJS
HIT,LLJO,LLJO,TJZ
HIT,LLJO,LLJO,TLI
HIT,LLJO,LLJO,TLJ
HIT,LLJO,LLJO,TLO
HIT,LLJO,LLJO,TLS
HIT,LLJO,LLJO,TLZ
HIT,LLJO,LLJO,TOI
HIT,LLJO,LLJO,TOJ
HIT,LLJO,LLJO,TOL
HIT,LLJO,LLJO,TOS
HIT,LLJO,LLJO,TOZ
HIT,LLJO,LLJO,TSI
HIT,LLJO,LLJO,TSJ
HIT,LLJO,LLJO,TSL
HIT,LLJO,LLJO,TSO
HIT,LLJO,LLJO,TSZ
HIT,LLJO,LLJO,TZI
HIT,LLJO,LLJO,TZJ
HIT,LLJO,LLJO,TZL
HIT,LLJO,LLJO,TZO
HIT,LLJO,LLJO,TZS
HIT,LLJO,LLJO,ITJ
HIT,LLJO,LLJO,ITL
HIT,LLJO,LLJO,ITO
HIT,LLJO,LLJO,ITS
